Transaction_ID,Sale_Date,Car_Brand,Car_Model,Model_Year,Car_Type,Engine_Type,Color,Base_Price_NET,Tax_Rate (%),Tax_Amount,Total_Price_GROSS,Discount (%),Final_Price_GROSS,Customer_Age,Customer_Gender,Region,Salesperson_ID,Days_In_Inventory,Campaign_Name,Financed,Financing_Partner,Profit_Margin (%)
T0019,2024-06-15,Volkswagen,Passat,2024,Hatchback,Hybrid,Gray,114041,23,26229.43,140270.43,3,136062.32,52,Male,Poznan,S138,93,SummerDeals,Yes,BankPolska,17.24
T0020,2024-01-19,Hyundai,i30,2023,Hatchback,Petrol,Red,192827,23,44350.21,237177.21,0,237177.21,40,Male,Krakow,S162,98,Spring2024,Yes,LeasingPro,9.13
T0021,2024-06-30,Volkswagen,Tiguan,2020,Hatchback,Hybrid,Blue,106411,23,24474.53,130885.53,3,126958.96,62,Female,Gdansk,S128,25,SummerDeals,No,None,7.39
T0022,2024-12-01,Ford,Kuga,2022,SUV,Petrol,Silver,78526,23,18060.98,96586.98,3,93689.37,59,Female,Krakow,S184,8,Spring2024,Yes,AutoFin,12.35
T0023,2024-01-24,BMW,5 Series,2021,Coupe,Petrol,Blue,208544,23,47965.12,256509.12,10,230858.21,48,Female,Gdansk,S194,110,None,Yes,LeasingPro,18.28
T0024,2024-02-15,Volkswagen,Passat,2020,Sedan,Petrol,Silver,211095,23,48551.85,259646.85,10,233682.17,62,Female,Wroclaw,S130,91,WinterClearance,Yes,BankPolska,9.6
T0025,2024-12-16,Toyota,Camry,2021,Hatchback,Hybrid,Silver,227592,23,52346.16,279938.16000000003,5,265941.25,31,Female,Gdansk,S136,31,SummerDeals,No,None,17.08
T0026,2024-07-29,Toyota,RAV4,2020,Coupe,Hybrid,Blue,249890,23,57474.7,307364.7,7,285849.17,27,Female,Poznan,S151,88,WinterClearance,Yes,LeasingPro,10.67
T0027,2024-12-12,Toyota,Corolla,2023,Coupe,Diesel,Gray,119339,23,27447.97,146786.97,7,136511.88,42,Male,Krakow,S175,92,AutumnSales,No,None,11.03
T0028,2024-10-02,Ford,Kuga,2020,Hatchback,Hybrid,Red,112125,23,25788.75,137913.75,10,124122.38,53,Male,Warsaw,S117,89,SummerDeals,Yes,LeasingPro,17.25
T0029,2024-10-08,BMW,5 Series,2024,Sedan,Diesel,Red,79103,23,18193.69,97296.69,7,90485.92,39,Female,Warsaw,S175,52,None,Yes,AutoFin,6.09
T0030,2024-03-15,Toyota,Corolla,2024,SUV,Diesel,Red,189326,23,43544.98,232870.98,0,232870.98,40,Female,Gdansk,S168,74,AutumnSales,Yes,LeasingPro,12.42
T0031,2024-10-22,Ford,Focus,2020,Coupe,Electric,Blue,159203,23,36616.69,195819.69,5,186028.71,35,Female,Wroclaw,S142,50,SummerDeals,No,None,15.62
T0032,2024-01-14,BMW,3 Series,2022,Sedan,Diesel,White,247702,23,56971.46,304673.46,5,289439.79,61,Male,Warsaw,S141,85,WinterClearance,No,None,6.34
T0033,2024-10-05,BMW,5 Series,2021,Sedan,Hybrid,Black,78117,23,17966.91,96083.91,3,93201.39,65,Male,Krakow,S136,46,WinterClearance,No,None,5.76
T0034,2024-10-27,Ford,Focus,2020,Coupe,Hybrid,Black,104618,23,24062.14,128680.14,10,115812.13,51,Female,Gdansk,S132,15,SummerDeals,No,None,19.69
T0035,2024-04-17,Hyundai,Santa Fe,2021,SUV,Diesel,Red,148341,23,34118.43,182459.43,3,176985.65,33,Female,Krakow,S170,14,SummerDeals,Yes,CreditPlus,12.68
T0036,2024-11-19,BMW,5 Series,2022,Sedan,Petrol,White,154029,23,35426.67,189455.66999999998,5,179982.89,50,Male,Poznan,S123,120,None,Yes,AutoFin,14.98
T0037,2024-02-14,BMW,X5,2023,Hatchback,Petrol,Black,101545,23,23355.35,124900.35,0,124900.35,53,Female,Warsaw,S155,108,AutumnSales,Yes,CreditPlus,9.91
T0038,2024-08-08,BMW,3 Series,2020,Hatchback,Diesel,Red,114049,23,26231.27,140280.27,3,136071.86,30,Male,Poznan,S115,38,None,Yes,AutoFin,17.13
T0039,2024-07-15,Volkswagen,Passat,2022,Hatchback,Hybrid,Silver,236391,23,54369.93,290760.93,0,290760.93,66,Female,Warsaw,S194,32,None,No,None,18.71
T0040,2024-05-26,Toyota,Corolla,2023,SUV,Diesel,Red,140797,23,32383.31,173180.31,0,173180.31,53,Female,Warsaw,S178,11,Spring2024,Yes,AutoFin,13.22
T0041,2024-05-06,Hyundai,Santa Fe,2022,SUV,Electric,Gray,104496,23,24034.08,128530.08,5,122103.58,57,Male,Krakow,S153,67,AutumnSales,No,None,8.71
T0042,2024-08-26,Volkswagen,Tiguan,2020,Hatchback,Electric,Gray,140433,23,32299.59,172732.59,10,155459.33,37,Male,Wroclaw,S191,16,None,No,None,10.19
T0043,2024-04-04,Toyota,Corolla,2020,Coupe,Petrol,Silver,169255,23,38928.65,208183.65,3,201938.14,41,Female,Warsaw,S120,120,SummerDeals,No,None,12.7
T0044,2024-05-08,Toyota,Corolla,2023,Coupe,Diesel,Blue,249609,23,57410.07,307019.07,5,291668.12,58,Male,Gdansk,S126,55,Spring2024,No,None,17.16
T0045,2024-09-18,Ford,Mondeo,2022,SUV,Electric,Silver,188727,23,43407.21,232134.21,3,225170.18,51,Male,Krakow,S196,1,SummerDeals,No,None,12.13
T0046,2024-07-17,Toyota,Camry,2020,SUV,Diesel,Blue,212075,23,48777.25,260852.25,7,242592.59,51,Female,Warsaw,S123,54,None,No,None,5.84
T0047,2024-11-27,Hyundai,i30,2024,SUV,Hybrid,Red,146515,23,33698.45,180213.45,3,174807.05,58,Male,Warsaw,S107,28,WinterClearance,No,None,16.33
T0048,2024-11-25,Hyundai,i30,2024,Sedan,Petrol,Blue,125427,23,28848.21,154275.21,0,154275.21,51,Female,Krakow,S172,35,AutumnSales,No,None,15.27
T0049,2024-05-15,Toyota,Corolla,2024,SUV,Petrol,Blue,141521,23,32549.83,174070.83000000002,0,174070.83,34,Male,Poznan,S124,70,Spring2024,Yes,None,7.47
T0050,2024-05-25,Hyundai,i30,2021,Hatchback,Petrol,Red,114637,23,26366.51,141003.51,5,133953.33,40,Female,Warsaw,S109,117,Spring2024,No,None,14.58
T0051,2024-01-23,BMW,3 Series,2020,Sedan,Petrol,Black,196412,23,45174.76,241586.76,3,234339.16,62,Male,Gdansk,S140,64,SummerDeals,Yes,None,17.13
T0052,2024-12-02,Volkswagen,Tiguan,2023,Hatchback,Electric,Blue,166876,23,38381.48,205257.48,7,190889.46,29,Female,Krakow,S126,68,AutumnSales,No,None,7.4
T0053,2024-03-12,Toyota,Camry,2020,Hatchback,Electric,Silver,175066,23,40265.18,215331.18,7,200258.0,46,Male,Wroclaw,S149,10,AutumnSales,Yes,BankPolska,8.8
T0054,2024-11-10,Ford,Mondeo,2023,Coupe,Diesel,Red,85591,23,19685.93,105276.93,5,100013.08,36,Female,Gdansk,S186,107,None,No,None,6.1
T0055,2024-07-29,Volkswagen,Passat,2021,Sedan,Hybrid,Silver,202475,23,46569.25,249044.25,3,241572.92,46,Female,Krakow,S104,96,SummerDeals,No,None,8.84
T0056,2024-09-25,Hyundai,Santa Fe,2020,Hatchback,Electric,Silver,90607,23,20839.61,111446.61,7,103645.35,39,Male,Krakow,S179,90,WinterClearance,No,None,15.02
T0057,2024-01-06,BMW,5 Series,2023,Coupe,Petrol,Blue,106214,23,24429.22,130643.22,0,130643.22,55,Female,Krakow,S145,88,AutumnSales,Yes,None,7.97
T0058,2024-11-03,BMW,3 Series,2021,Sedan,Electric,Silver,208347,23,47919.81,256266.81,10,230640.13,67,Male,Poznan,S126,103,AutumnSales,Yes,LeasingPro,12.02
T0059,2024-09-08,BMW,5 Series,2021,SUV,Diesel,White,181051,23,41641.73,222692.73,3,216011.95,28,Male,Krakow,S117,60,Spring2024,No,None,17.93
T0060,2024-10-29,Toyota,Camry,2023,SUV,Electric,Red,211530,23,48651.9,260181.9,5,247172.8,60,Male,Krakow,S144,1,WinterClearance,Yes,None,16.5
T0061,2024-07-14,Volkswagen,Passat,2021,Hatchback,Electric,Silver,166701,23,38341.23,205042.23,0,205042.23,57,Female,Gdansk,S150,65,WinterClearance,Yes,BankPolska,6.98
T0062,2024-08-23,Toyota,Camry,2021,Coupe,Petrol,Black,236685,23,54437.55,291122.55,10,262010.29,46,Male,Gdansk,S150,44,WinterClearance,Yes,AutoFin,17.24
T0063,2024-09-20,Ford,Mondeo,2024,Hatchback,Electric,Black,125440,23,28851.2,154291.2,7,143490.82,55,Male,Wroclaw,S108,69,AutumnSales,No,None,11.38
T0064,2024-12-24,Toyota,RAV4,2021,Sedan,Diesel,Red,149968,23,34492.64,184460.64,7,171548.4,67,Male,Poznan,S118,86,SummerDeals,Yes,LeasingPro,14.6
T0065,2024-03-02,BMW,3 Series,2020,Sedan,Petrol,Black,152516,23,35078.68,187594.68,10,168835.21,70,Female,Krakow,S134,1,AutumnSales,Yes,AutoFin,9.33
T0066,2024-09-30,Hyundai,i30,2024,Sedan,Diesel,Silver,169437,23,38970.51,208407.51,5,197987.13,67,Male,Poznan,S180,99,SummerDeals,No,None,16.68
T0067,2024-01-25,Volkswagen,Golf,2022,Sedan,Electric,Red,95005,23,21851.15,116856.15,0,116856.15,42,Female,Poznan,S103,120,SummerDeals,No,None,9.96
T0068,2024-03-27,Volkswagen,Passat,2021,Hatchback,Hybrid,White,109749,23,25242.27,134991.27,3,130941.53,39,Male,Gdansk,S169,108,None,No,None,5.7
T0069,2024-02-09,Toyota,Corolla,2022,Sedan,Diesel,Gray,219986,23,50596.78,270582.78,7,251641.99,42,Female,Wroclaw,S152,79,None,No,None,7.25
T0070,2024-12-10,Toyota,RAV4,2023,Coupe,Hybrid,Silver,174746,23,40191.58,214937.58000000002,10,193443.82,63,Female,Warsaw,S158,103,SummerDeals,No,None,8.19
T0071,2024-01-29,BMW,5 Series,2024,SUV,Petrol,Black,77358,23,17792.34,95150.34,10,85635.31,54,Female,Warsaw,S176,72,Spring2024,No,None,15.02
T0072,2024-08-24,Ford,Mondeo,2022,Coupe,Diesel,Blue,125465,23,28856.95,154321.95,5,146605.85,62,Male,Poznan,S131,61,Spring2024,Yes,BankPolska,16.62
T0073,2024-12-18,Ford,Focus,2020,Hatchback,Electric,Red,191320,23,44003.6,235323.6,0,235323.6,29,Male,Warsaw,S181,41,SummerDeals,Yes,CreditPlus,9.78
T0074,2024-05-12,Volkswagen,Golf,2020,Hatchback,Petrol,Blue,85161,23,19587.03,104748.03,10,94273.23,47,Male,Wroclaw,S196,117,Spring2024,Yes,CreditPlus,15.75
T0075,2024-06-16,Volkswagen,Passat,2023,Hatchback,Diesel,Black,127156,23,29245.88,156401.88,0,156401.88,38,Female,Gdansk,S121,93,Spring2024,No,None,18.42
T0076,2024-01-06,Toyota,RAV4,2024,SUV,Electric,Gray,146835,23,33772.05,180607.05,10,162546.35,70,Male,Poznan,S155,75,SummerDeals,Yes,CreditPlus,17.76
T0077,2024-03-24,Toyota,Corolla,2022,Hatchback,Hybrid,White,187424,23,43107.52,230531.52,3,223615.57,40,Male,Gdansk,S119,42,None,No,None,12.29
T0078,2024-01-16,BMW,X5,2024,Sedan,Hybrid,Blue,165955,23,38169.65,204124.65,0,204124.65,69,Female,Poznan,S190,45,WinterClearance,No,None,10.17
T0079,2024-09-10,Ford,Mondeo,2022,Sedan,Diesel,Black,164037,23,37728.51,201765.51,0,201765.51,30,Male,Wroclaw,S147,32,WinterClearance,Yes,BankPolska,15.57
T0080,2024-10-02,BMW,X5,2024,SUV,Electric,Black,188983,23,43466.09,232449.09,10,209204.18,33,Male,Poznan,S101,5,None,No,None,18.83
T0081,2024-04-13,Toyota,Camry,2020,Hatchback,Petrol,White,236204,23,54326.92,290530.92,0,290530.92,63,Male,Krakow,S140,32,AutumnSales,Yes,None,18.78
T0082,2024-01-30,Toyota,Camry,2020,Hatchback,Diesel,White,181349,23,41710.27,223059.27,3,216367.49,46,Male,Wroclaw,S118,13,Spring2024,Yes,CreditPlus,10.84
T0083,2024-03-28,Toyota,RAV4,2023,Coupe,Petrol,Black,135429,23,31148.67,166577.66999999998,0,166577.67,36,Female,Poznan,S163,73,SummerDeals,No,None,19.68
T0084,2024-09-04,Hyundai,Santa Fe,2024,SUV,Diesel,Black,224679,23,51676.17,276355.17,10,248719.65,38,Male,Krakow,S146,51,SummerDeals,No,None,7.25
T0085,2024-07-27,BMW,X5,2022,Sedan,Diesel,Blue,155894,23,35855.62,191749.62,5,182162.14,28,Male,Warsaw,S143,74,SummerDeals,Yes,BankPolska,19.8
T0086,2024-12-18,Hyundai,i30,2023,SUV,Hybrid,Silver,233135,23,53621.05,286756.05,3,278153.37,32,Male,Warsaw,S155,64,None,Yes,LeasingPro,17.36
T0087,2024-04-12,Ford,Kuga,2023,Coupe,Electric,Blue,188187,23,43283.01,231470.01,0,231470.01,70,Female,Gdansk,S194,54,AutumnSales,Yes,None,6.84
T0088,2024-11-27,Toyota,RAV4,2020,Coupe,Hybrid,Gray,195587,23,44985.01,240572.01,0,240572.01,57,Female,Krakow,S127,92,WinterClearance,Yes,AutoFin,16.03
T0089,2024-03-31,Hyundai,Santa Fe,2020,Coupe,Petrol,Blue,181162,23,41667.26,222829.26,0,222829.26,38,Female,Wroclaw,S176,58,SummerDeals,Yes,BankPolska,19.83
T0090,2024-04-11,Ford,Mondeo,2023,Coupe,Petrol,Red,160137,23,36831.51,196968.51,0,196968.51,49,Female,Poznan,S102,114,Spring2024,No,None,18.74
T0091,2024-03-30,Hyundai,Tucson,2024,SUV,Electric,Blue,208758,23,48014.34,256772.34,10,231095.11,41,Male,Krakow,S132,56,SummerDeals,No,None,13.51
T0092,2024-10-15,Hyundai,i30,2022,Sedan,Hybrid,Blue,106913,23,24589.99,131502.99,0,131502.99,56,Male,Krakow,S184,81,SummerDeals,No,None,12.87
T0093,2024-02-02,Hyundai,i30,2024,Hatchback,Petrol,Red,162748,23,37432.04,200180.04,3,194174.64,58,Male,Wroclaw,S179,68,SummerDeals,No,None,6.66
T0094,2024-03-04,Toyota,RAV4,2023,Coupe,Hybrid,White,79995,23,18398.85,98393.85,10,88554.47,41,Male,Krakow,S175,100,None,Yes,LeasingPro,6.61
T0095,2024-07-28,BMW,3 Series,2022,Sedan,Petrol,Silver,148373,23,34125.79,182498.79,5,173373.85,43,Male,Warsaw,S176,27,None,Yes,CreditPlus,17.9
T0096,2024-05-28,Toyota,RAV4,2023,Hatchback,Diesel,Red,239713,23,55133.99,294846.99,5,280104.64,59,Female,Krakow,S128,24,Spring2024,No,None,11.18
T0097,2024-06-21,Ford,Mondeo,2024,Sedan,Petrol,Black,137541,23,31634.43,169175.43,0,169175.43,68,Male,Krakow,S105,59,Spring2024,No,None,19.44
T0098,2024-08-23,Ford,Mondeo,2020,Hatchback,Petrol,Silver,102520,23,23579.6,126099.6,10,113489.64,56,Female,Wroclaw,S158,32,AutumnSales,Yes,None,17.89
T0099,2024-05-25,Ford,Mondeo,2023,SUV,Hybrid,Red,77912,23,17919.76,95831.76,5,91040.17,67,Female,Wroclaw,S102,98,None,Yes,None,8.42
T0100,2024-10-15,Volkswagen,Passat,2024,Coupe,Hybrid,Black,167024,23,38415.52,205439.52,0,205439.52,68,Female,Gdansk,S143,85,AutumnSales,No,None,15.26
T0101,2024-03-09,Ford,Kuga,2020,Coupe,Diesel,White,173013,23,39792.99,212805.99,7,197909.57,47,Female,Gdansk,S123,119,Spring2024,Yes,None,11.23
T0102,2024-12-16,Ford,Mondeo,2023,Hatchback,Electric,Blue,229056,23,52682.88,281738.88,7,262017.16,31,Female,Poznan,S166,108,SummerDeals,No,None,6.08
T0103,2024-02-19,BMW,5 Series,2024,SUV,Petrol,Red,169608,23,39009.84,208617.84,0,208617.84,64,Female,Warsaw,S131,111,None,No,None,19.58
T0104,2024-03-13,Ford,Kuga,2022,Hatchback,Diesel,Blue,174703,23,40181.69,214884.69,0,214884.69,47,Female,Wroclaw,S140,115,AutumnSales,Yes,BankPolska,7.41
T0105,2024-11-27,Toyota,Camry,2023,SUV,Diesel,Black,151191,23,34773.93,185964.93,0,185964.93,43,Male,Wroclaw,S108,118,WinterClearance,Yes,AutoFin,16.73
T0106,2024-05-22,Toyota,RAV4,2024,Coupe,Petrol,White,147383,23,33898.09,181281.09,3,175842.66,51,Female,Krakow,S191,93,WinterClearance,No,None,17.41
T0107,2024-05-10,BMW,3 Series,2021,SUV,Diesel,Gray,141893,23,32635.39,174528.39,7,162311.4,27,Male,Warsaw,S184,81,WinterClearance,Yes,None,16.41
T0108,2024-03-25,BMW,5 Series,2024,Coupe,Diesel,White,194972,23,44843.56,239815.56,7,223028.47,65,Male,Poznan,S109,38,None,Yes,BankPolska,12.3
T0109,2024-08-09,Ford,Mondeo,2022,Hatchback,Electric,Black,114031,23,26227.13,140258.13,10,126232.32,49,Male,Wroclaw,S135,23,Spring2024,Yes,CreditPlus,16.57
T0110,2024-07-13,Toyota,RAV4,2021,SUV,Diesel,Gray,203560,23,46818.8,250378.8,7,232852.28,62,Male,Warsaw,S143,21,None,Yes,CreditPlus,14.06
T0111,2024-01-18,Hyundai,i30,2024,SUV,Diesel,Silver,88859,23,20437.57,109296.57,5,103831.74,39,Male,Warsaw,S196,40,Spring2024,Yes,AutoFin,5.63
T0112,2024-08-08,Hyundai,Santa Fe,2020,Hatchback,Hybrid,Blue,199939,23,45985.97,245924.97,7,228710.22,51,Female,Wroclaw,S143,36,Spring2024,Yes,LeasingPro,7.27
T0113,2024-10-23,Volkswagen,Tiguan,2023,Sedan,Hybrid,White,104774,23,24098.02,128872.02,0,128872.02,41,Male,Gdansk,S196,13,SummerDeals,No,None,17.95
T0114,2024-04-12,Toyota,Camry,2021,Hatchback,Diesel,Red,220567,23,50730.41,271297.41000000003,0,271297.41,38,Male,Poznan,S153,48,AutumnSales,Yes,AutoFin,13.47
T0115,2024-10-05,Toyota,Corolla,2020,SUV,Petrol,Black,174902,23,40227.46,215129.46,3,208675.58,38,Female,Krakow,S141,57,WinterClearance,No,None,5.5
T0116,2024-05-21,Hyundai,i30,2024,Coupe,Petrol,Gray,94599,23,21757.77,116356.77,7,108211.8,55,Male,Krakow,S186,87,None,Yes,AutoFin,8.26
T0117,2024-08-20,Toyota,Corolla,2021,Hatchback,Petrol,Blue,118580,23,27273.4,145853.4,7,135643.66,67,Male,Warsaw,S144,84,WinterClearance,No,None,11.72
T0118,2024-08-28,Volkswagen,Passat,2020,SUV,Petrol,White,243181,23,55931.63,299112.63,0,299112.63,70,Male,Poznan,S147,28,None,Yes,LeasingPro,12.99
T0119,2024-08-16,Ford,Focus,2021,Hatchback,Electric,Blue,134899,23,31026.77,165925.77,0,165925.77,28,Female,Wroclaw,S119,75,None,No,None,18.28
T0120,2024-11-29,Hyundai,Tucson,2023,Sedan,Hybrid,Black,182312,23,41931.76,224243.76,3,217516.45,49,Female,Wroclaw,S191,52,None,Yes,CreditPlus,10.07
T0121,2024-09-15,Toyota,RAV4,2021,Sedan,Electric,Red,244815,23,56307.45,301122.45,0,301122.45,37,Male,Krakow,S183,92,Spring2024,Yes,BankPolska,9.76
T0122,2024-08-24,Hyundai,i30,2020,Hatchback,Hybrid,White,139384,23,32058.32,171442.32,3,166299.05,55,Male,Warsaw,S139,48,Spring2024,No,None,15.35
T0123,2024-03-08,Toyota,RAV4,2024,Hatchback,Hybrid,Blue,126310,23,29051.3,155361.3,5,147593.23,49,Female,Wroclaw,S114,17,WinterClearance,Yes,BankPolska,18.0
T0124,2024-11-28,BMW,X5,2021,Coupe,Electric,Blue,75924,23,17462.52,93386.52,7,86849.46,44,Male,Krakow,S140,69,AutumnSales,No,None,7.78
T0125,2024-10-12,Volkswagen,Passat,2020,Sedan,Hybrid,Silver,218568,23,50270.64,268838.64,10,241954.78,59,Male,Gdansk,S174,23,SummerDeals,No,None,19.13
T0126,2024-05-29,Hyundai,Tucson,2021,Sedan,Hybrid,Silver,177202,23,40756.46,217958.46,10,196162.61,68,Female,Wroclaw,S182,112,AutumnSales,Yes,None,8.32
T0127,2024-10-14,Toyota,RAV4,2021,Coupe,Hybrid,White,200475,23,46109.25,246584.25,7,229323.35,62,Male,Gdansk,S132,29,Spring2024,No,None,6.44
T0128,2024-08-05,Volkswagen,Passat,2022,Coupe,Diesel,Red,221158,23,50866.34,272024.33999999997,5,258423.12,36,Female,Gdansk,S111,26,WinterClearance,Yes,BankPolska,12.51
T0129,2024-02-27,Volkswagen,Tiguan,2021,Coupe,Electric,Gray,149289,23,34336.47,183625.47,7,170771.69,50,Female,Krakow,S116,20,SummerDeals,Yes,BankPolska,17.19
T0130,2024-05-29,BMW,X5,2022,Coupe,Hybrid,White,208521,23,47959.83,256480.83000000002,10,230832.75,32,Male,Poznan,S191,15,AutumnSales,No,None,13.6
T0131,2024-10-05,Volkswagen,Passat,2023,Sedan,Diesel,Gray,173556,23,39917.88,213473.88,3,207069.66,38,Male,Gdansk,S197,66,WinterClearance,No,None,14.98
T0132,2024-07-05,Toyota,Camry,2024,Coupe,Diesel,Gray,109576,23,25202.48,134778.48,0,134778.48,57,Female,Wroclaw,S182,110,Spring2024,Yes,BankPolska,8.32
T0133,2024-04-09,Ford,Focus,2021,Coupe,Petrol,Black,108121,23,24867.83,132988.83000000002,7,123679.61,33,Female,Poznan,S198,48,None,No,None,16.1
T0134,2024-03-26,BMW,3 Series,2020,Hatchback,Diesel,Black,102823,23,23649.29,126472.29000000001,5,120148.68,34,Female,Warsaw,S128,4,AutumnSales,No,None,8.42
T0135,2024-05-31,BMW,3 Series,2023,Coupe,Diesel,Blue,164739,23,37889.97,202628.97,5,192497.52,65,Male,Wroclaw,S155,108,SummerDeals,No,None,7.87
T0136,2024-07-09,Toyota,RAV4,2021,Sedan,Petrol,Blue,118885,23,27343.55,146228.55,7,135992.55,25,Male,Gdansk,S101,68,Spring2024,Yes,None,13.72
T0137,2024-02-06,Toyota,Camry,2020,Coupe,Diesel,Red,217085,23,49929.55,267014.55,3,259004.11,28,Male,Gdansk,S118,107,SummerDeals,No,None,11.13
T0138,2024-06-06,Ford,Mondeo,2023,Hatchback,Diesel,Blue,235495,23,54163.85,289658.85,10,260692.96,61,Male,Wroclaw,S188,53,Spring2024,Yes,CreditPlus,17.46
T0139,2024-05-23,Volkswagen,Golf,2024,Hatchback,Hybrid,Red,123718,23,28455.14,152173.14,5,144564.48,63,Female,Krakow,S139,43,WinterClearance,Yes,BankPolska,19.96
T0140,2024-09-21,BMW,X5,2023,Sedan,Petrol,White,198779,23,45719.17,244498.16999999998,7,227383.3,44,Male,Poznan,S108,55,SummerDeals,Yes,None,11.73
T0141,2024-08-31,Toyota,Corolla,2024,SUV,Hybrid,Black,132298,23,30428.54,162726.54,7,151335.68,26,Male,Warsaw,S109,48,Spring2024,Yes,CreditPlus,6.71
T0142,2024-12-12,Hyundai,Tucson,2020,Sedan,Diesel,Red,162400,23,37352.0,199752.0,5,189764.4,28,Female,Gdansk,S180,108,SummerDeals,No,None,13.92
T0143,2024-02-08,Ford,Focus,2022,Sedan,Hybrid,White,158050,23,36351.5,194401.5,0,194401.5,54,Male,Poznan,S106,3,WinterClearance,Yes,None,7.37
T0144,2024-01-28,Ford,Kuga,2020,Hatchback,Petrol,Red,125147,23,28783.81,153930.81,0,153930.81,29,Male,Wroclaw,S181,33,WinterClearance,Yes,AutoFin,8.96
T0145,2024-10-24,Ford,Kuga,2024,Sedan,Hybrid,Gray,82691,23,19018.93,101709.93,0,101709.93,44,Female,Poznan,S136,25,AutumnSales,Yes,LeasingPro,7.25
T0146,2024-05-23,Toyota,Corolla,2023,Sedan,Hybrid,Gray,103388,23,23779.24,127167.24,5,120808.88,33,Female,Wroclaw,S137,26,None,No,None,13.45
T0147,2024-06-30,Toyota,Corolla,2020,Sedan,Hybrid,Gray,141171,23,32469.33,173640.33000000002,10,156276.3,45,Male,Wroclaw,S152,97,SummerDeals,No,None,19.14
