,Id_punktu,data,pm25
10282,2,2024-01-02 13:00:03,75.25091083491952
10283,5,2024-01-02 13:00:30,86.16348033018019
10284,4,2024-01-02 13:00:34,94.42331010806686
10285,2,2024-01-02 13:00:46,75.25091083491952
10286,3,2024-01-02 13:00:51,88.00971894301527
10574,3,2024-01-02 14:00:01,80.16254418826747
10575,2,2024-01-02 14:00:02,75.25091083491952
10576,4,2024-01-02 14:00:21,94.42331010806686
10577,5,2024-01-02 14:00:42,76.79843567878082
10578,1,2024-01-02 14:00:50,81.48143985753487
10848,3,2024-01-02 15:00:20,80.16254418826747
10849,5,2024-01-02 15:00:31,78.09216875452509
10850,4,2024-01-02 15:00:32,94.42331010806686
10851,2,2024-01-02 15:00:35,75.25091083491952
10852,3,2024-01-02 15:00:52,80.16254418826747
11123,5,2024-01-02 16:00:04,78.09216875452509
11124,5,2024-01-02 16:00:19,78.09216875452509
11125,2,2024-01-02 16:00:28,74.9434494971985
11126,1,2024-01-02 16:00:30,77.80499306477608
11127,4,2024-01-02 16:00:38,76.4169799736382
11128,5,2024-01-02 16:00:47,78.09216875452509
11407,3,2024-01-02 17:00:00,74.00888789603684
11408,3,2024-01-02 17:00:25,74.00888789603684
11409,4,2024-01-02 17:00:26,76.4169799736382
11410,1,2024-01-02 17:00:40,77.80499306477608
11411,5,2024-01-02 17:00:42,78.09216875452509
11412,5,2024-01-02 17:00:59,78.09216875452509
11683,3,2024-01-02 18:00:05,76.32146460143701
11684,5,2024-01-02 18:00:16,73.59403566969473
11685,4,2024-01-02 18:00:23,76.02148462445946
11686,5,2024-01-02 18:00:36,73.59403566969473
11687,1,2024-01-02 18:00:46,77.80499306477608
11688,2,2024-01-02 18:00:49,82.68373605625943
11953,3,2024-01-02 19:00:18,76.32146460143701
11954,1,2024-01-02 19:00:23,77.10890992800782
11955,4,2024-01-02 19:00:33,84.3032028549251
11956,5,2024-01-02 19:00:51,72.45607938312318
11957,2,2024-01-02 19:00:57,82.68373605625943
12237,4,2024-01-02 20:00:09,84.3032028549251
12238,3,2024-01-02 20:00:11,76.32146460143701
12239,2,2024-01-02 20:00:27,82.68373605625943
12240,5,2024-01-02 20:00:41,71.02833607661283
12241,1,2024-01-02 20:00:42,73.67224204312315
12242,4,2024-01-02 20:00:43,84.3032028549251
12517,4,2024-01-02 21:00:14,84.3032028549251
12518,5,2024-01-02 21:00:14,71.43825930089093
12519,2,2024-01-02 21:00:19,73.00746069236119
12520,5,2024-01-02 21:00:30,71.43825930089093
12521,3,2024-01-02 21:00:32,78.0408978354919
12522,5,2024-01-02 21:00:44,71.43825930089093
12523,4,2024-01-02 21:00:46,84.3032028549251
12524,1,2024-01-02 21:00:48,75.58601746400309
12525,3,2024-01-02 21:00:51,78.0408978354919
12792,1,2024-01-02 22:00:03,75.58601746400309
12793,3,2024-01-02 22:00:05,78.0408978354919
12794,4,2024-01-02 22:00:16,83.75789884094662
12795,5,2024-01-02 22:00:24,71.43825930089093
12796,2,2024-01-02 22:00:28,73.00746069236119
12797,2,2024-01-02 22:00:56,73.00746069236119
13073,4,2024-01-02 23:00:17,83.75789884094662
13074,5,2024-01-02 23:00:27,75.84071273652489
13075,3,2024-01-02 23:00:28,78.0408978354919
13348,3,2024-01-03 00:00:01,70.11697420721282
13349,1,2024-01-03 00:00:28,78.3801140420633
13350,2,2024-01-03 00:00:41,78.22609225262767
13351,4,2024-01-03 00:00:58,78.92298383669758
